# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jul 10 16:35:21 BST 2019 [seed=1562772909926]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	X.precision.col1	X.varCovar.X.precision.col1	X.diffusionRate	Y.precision.col1	Y.varCovar.Y.precision.col1	Y.diffusionRate	X.traitLikelihood	Y.traitLikelihood
10000	-114.23788497331732	1.2866790310316212	-115.52456400434895	2.8890728550357716	0.0	39.396435883904395	0.033543812059466625	29.81175777598549	0.9809962541333559	0.05283466347646681	18.926968285610677	0.7345231699704776	-63.15336089534556	-52.37120310900338
11000	-113.95808770543427	1.119632316909971	-115.07772002234424	2.8890728550357716	0.0	39.396435883904395	0.03631490440713319	27.536902996874584	0.8664205771566234	0.06701607809292638	14.921792328900116	0.7443655190228378	-62.876649888053144	-52.2010701342911
12000	-114.60193730556138	1.035278731713089	-115.63721603727447	2.8890728550357716	0.0	39.396435883904395	0.050810919900000605	19.68080880976115	0.9284318774773846	0.0564751972191623	17.70688814275969	0.8224666904242731	-63.4524119878486	-52.18480404942588
13000	-114.19901600710483	1.1166825054665106	-115.31569851257134	2.8890728550357716	0.0	39.396435883904395	0.046183519505757886	21.652745626615268	0.900546150695872	0.05321649405390891	18.791166494113437	0.7129317445787642	-62.96945447988348	-52.34624403268786
14000	-114.6681675456156	0.981069378514227	-115.64923692412982	2.8890728550357716	0.0	39.396435883904395	0.040422489382340526	24.738704005619024	0.9555871209576671	0.07822460759782064	12.783701071935582	0.7348753108197967	-62.73424715174083	-52.91498977238899
15000	-114.2892578624722	1.0094255349545287	-115.29868339742673	2.8890728550357716	0.0	39.396435883904395	0.04865447409063796	20.553094421226493	0.8549100744434952	0.06190506762644119	16.15376637716288	0.7108910005695089	-63.19848968730906	-52.100193710117665
16000	-114.1060552102858	1.103373996850472	-115.20942920713628	2.8890728550357716	0.0	39.396435883904395	0.03602597062602011	27.757753160375373	1.0388053395439316	0.06962458848171839	14.362741982490483	0.7397133891351967	-62.89815450434196	-52.31127470279432
17000	-115.82724340893137	1.3205671844563118	-117.14781059338767	2.8890728550357716	0.0	39.396435883904395	0.04271301286230106	23.412068898623872	0.9643130976735813	0.03895662297600282	25.669576149246755	0.7964786766884681	-62.773095011894696	-54.374715581492985
18000	-114.54042201342422	1.3114977792710238	-115.85191979269524	2.8890728550357716	0.0	39.396435883904395	0.03624017595961016	27.59368500623464	1.011092092207397	0.04669590391423951	21.415154567659172	0.7789074775706498	-62.88205593991087	-52.96986385278438
19000	-114.1319103643513	0.998919790003717	-115.13083015435501	2.8890728550357716	0.0	39.396435883904395	0.04475414404648947	22.34429953483694	1.0582484598905644	0.06854135599949734	14.58973178189433	0.7194552026130139	-62.86982422146275	-52.26100593289226
20000	-113.73562265787682	1.1612899744765381	-114.89691263235335	2.8890728550357716	0.0	39.396435883904395	0.039115555705286784	25.565276575243487	0.9238221078645744	0.05762277634439408	17.35424884811692	0.6867866572364785	-62.7482162112866	-52.14869642106675
21000	-113.75921156458399	1.1164004079649334	-114.87561197254892	2.8890728550357716	0.0	39.396435883904395	0.03861128996162222	25.8991606080489	0.9170693928018447	0.06351550770053101	15.744186517643781	0.7939947286956608	-62.76111597661648	-52.114495995932444
22000	-115.89527450387773	1.4113427879748974	-117.30661729185263	2.8890728550357716	0.0	39.396435883904395	0.025645889750330553	38.992603092942446	1.1623592901028859	0.054208264576757925	18.447371591909533	0.8022660671898723	-65.01911503983463	-52.287502252017994
