# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jul 18 09:18:04 BST 2019 [seed=123456795]
# -overwrite -seed 123456795 beast_input\beast0.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
120	-17.259954838003598	-1.2520786724732105	-16.007876165530387	0.4043076376996336	0.0	4.8427093204610525	0.20245408110635163	0.0018081151630068367	0.0018081151630068367	0.2446971005796781	-0.008123597712537801	4.939717647231772	-0.036500548464912956	-0.036500548464912956	4.086954830384255	4.843232251568099	-16.007876165530387
130	-18.65274042487018	-1.4938842206914515	-17.15885620417873	0.4043076376996336	0.0	4.8427093204610525	0.2799006629900584	0.018254737791819135	0.018254737791819135	0.26222866029778524	-0.06738039576407452	3.5889905142839917	-0.24984332643571722	-0.24984332643571724	3.8308582413239907	4.429203764037589	-17.15885620417873
140	-19.135800785392295	-1.447155415961105	-17.68864536943119	0.4043076376996336	0.0	4.8427093204610525	0.336659131514393	0.026859472783710453	0.026859472783710453	0.2007440995884804	-0.10331916553265307	3.002413828466807	-0.4017216579538649	-0.40172165795386483	5.035216646519271	4.7000413622906905	-17.68864536943119
150	-19.45053931506246	-1.2008632904458643	-18.249676024616598	0.4043076376996336	0.0	4.8427093204610525	0.1764828227223085	0.05278321524475307	0.05278321524475307	0.2694548909809649	-0.24204804829467294	6.018904967214846	-1.17903651800723	-1.17903651800723	3.9421564568536223	4.388322693275925	-18.249676024616598
160	-19.8502976469141	-1.0399413111411722	-18.810356335772926	0.4043076376996336	0.0	4.8427093204610525	0.2519778828766014	-0.05347467994766543	-0.05347467994766543	0.14639624363492076	0.27842101728089663	4.302093058623488	1.5714409311530184	1.5714409311530186	7.404782212536828	4.701012005041875	-18.810356335772926
170	-18.378335180087088	-0.8096373238335426	-17.568697856253547	0.4043076376996336	0.0	4.8427093204610525	0.13956779816581485	0.0051336905577236865	0.0051336905577236865	0.16854379469428732	-0.03347192501162913	7.173012969731725	-0.21848344532609137	-0.21848344532609135	5.93983082092207	5.219628677089272	-17.568697856253547
180	-16.773656789968065	-1.015576315771579	-15.758080474196486	0.4043076376996336	0.0	4.8427093204610525	0.20108263297678347	0.030842641204234775	0.030842641204234775	0.1703179700128565	-0.16666102326813131	5.115157998582403	-0.9262967544842144	-0.9262967544842143	6.039112833305621	4.8623269562356395	-15.758080474196486
190	-16.543636227112373	-1.236810123815455	-15.306826103296919	0.4043076376996336	0.0	4.8427093204610525	0.245628413510832	-0.0020281662607408	-0.0020281662607408	0.1965914565321343	0.009229579862045877	4.07153707548355	0.042004643902219696	0.0420046439022197	5.087124384970848	5.112595394440182	-15.306826103296919
200	-18.495808191701308	-1.2990481664077693	-17.19676002529354	0.4043076376996336	0.0	4.8427093204610525	0.31511808474537567	-0.0040307855917891666	-0.0040307855917891666	0.1668295199427107	0.017579907407281818	3.17439460669514	0.07669688222872019	0.0766968822287202	5.9959960864919415	4.602044936976397	-17.19676002529354
210	-16.54197421052122	-1.1995453695929164	-15.342428840928305	0.4043076376996336	0.0	4.8427093204610525	0.24942964192106165	0.0012747248688679963	0.0012747248688679963	0.18168849327423134	-0.005987957583840286	4.0092903522596774	-0.028129145805750325	-0.028129145805750325	5.5041232325720015	4.406445957358975	-15.342428840928305
220	-16.438867227807222	-1.1371212866826585	-15.301745941124564	0.4043076376996336	0.0	4.8427093204610525	0.1993138089672851	0.015722074065514183	0.015722074065514183	0.20696599507220304	-0.07740903358974345	5.047459010032378	-0.383427839779628	-0.38342783977962797	4.8608385186408425	4.834644039225546	-15.301745941124564
230	-16.563853811956037	-1.2110773509555715	-15.352776461000467	0.4043076376996336	0.0	4.8427093204610525	0.25219112301875585	0.003214837372369221	0.003214837372369221	0.18315103904144264	-0.014958547234159422	3.96613408212579	-0.06961727401481005	-0.06961727401481005	5.461196471770705	4.683634863604661	-15.352776461000467
240	-16.310801383008066	-1.1425972739658732	-15.168204109042192	0.4043076376996336	0.0	4.8427093204610525	0.21014306748157588	-8.73007103470022E-5	-8.73007103470022E-5	0.19708583114354322	4.28975552419758E-4	4.7586636856708715	0.002107887297889911	0.002107887297889911	5.073932398984733	4.837565989293819	-15.168204109042192
250	-16.45647389957123	-1.2230402560248137	-15.233433643546416	0.4043076376996336	0.0	4.8427093204610525	0.24507710205930391	0.003685406128921975	0.003685406128921975	0.19259433299440593	-0.016963373854064323	4.081523041013608	-0.07810235014092923	-0.07810235014092923	5.193755305920382	4.414093180303937	-15.233433643546416
260	-16.764778175505402	-1.2642720289442713	-15.500506146561131	0.4043076376996336	0.0	4.8427093204610525	0.26310865055116023	0.01931452729800602	0.01931452729800602	0.1926808752594371	-0.08578220687600181	3.82888641297644	-0.38381147607318505	-0.3838114760731851	5.228402330410125	4.408919695203442	-15.500506146561131
