# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jul 15 15:23:20 BST 2019 [seed=1234]
# -overwrite -seed 1234 beast_input\beast6.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	X.precision.col1	X.varCovar.X.precision.col1	X.diffusionRate	X.traitLikelihood
640	-39.51466201661764	0.7218738687254667	-40.23653588534311	7.0770238527270095	0.0	30.79180130144237	0.036230453484751665	27.6010897964849	0.7051172427908686	-40.23653588534311
660	-39.816825578272514	0.8325170475503105	-40.649342625822825	7.0770238527270095	0.0	30.79180130144237	0.029241888784521358	34.19751738230162	0.6668645809928802	-40.649342625822825
680	-40.30841840904611	0.49113268929734155	-40.79955109834346	7.0770238527270095	0.0	30.79180130144237	0.05633296399889184	17.75159567353267	0.6391612438290776	-40.79955109834346
700	-40.495944740125694	0.9484042562035415	-41.44434899632923	7.0770238527270095	0.0	30.79180130144237	0.0233299912034368	42.86328234245916	0.9891948442198089	-41.44434899632923
720	-39.96456467882375	0.5379277024498288	-40.502492381273576	7.0770238527270095	0.0	30.79180130144237	0.051546107588090216	19.400106948735953	0.7349087132063491	-40.502492381273576
740	-42.45403244389379	0.3252271443820891	-42.77925958827588	7.0770238527270095	0.0	30.79180130144237	0.07690128874509945	13.003683245343858	0.6406119130560199	-42.77925958827588
760	-39.537577573494474	0.6477509445247895	-40.18532851801926	7.0770238527270095	0.0	30.79180130144237	0.041787161934799436	23.93079485896413	0.7487393252508744	-40.18532851801926
780	-39.9572577311254	0.539101469410336	-40.496359200535736	7.0770238527270095	0.0	30.79180130144237	0.05143115507481721	19.443467651957146	0.7362975712309028	-40.496359200535736
800	-39.63717282457559	0.7835305539150299	-40.42070337849062	7.0770238527270095	0.0	30.79180130144237	0.03215793305941919	31.09652595371318	0.8485626088140666	-40.42070337849062
820	-40.331300222711455	0.48845271025706993	-40.81975293296853	7.0770238527270095	0.0	30.79180130144237	0.05661949159979016	17.66176226145602	0.6451858702435045	-40.81975293296853
840	-39.50983716272505	0.6700589025371719	-40.17989606526222	7.0770238527270095	0.0	30.79180130144237	0.04003389662538415	24.978832546765723	0.6860588619426301	-40.17989606526222
860	-39.53416135990144	0.6498559362969774	-40.18401729619842	7.0770238527270095	0.0	30.79180130144237	0.04161862226631302	24.027705520887	0.7612211791218295	-40.18401729619842
880	-39.5129084471276	0.6666179156057837	-40.179526362733384	7.0770238527270095	0.0	30.79180130144237	0.04029964795969699	24.8141125451042	0.7498988886875544	-40.179526362733384
900	-39.59660840120056	0.6207364067875247	-40.217344807988084	7.0770238527270095	0.0	30.79180130144237	0.04400909444845927	22.722576152325473	0.7325149989401503	-40.217344807988084
920	-39.85932278927237	0.8419732155964104	-40.70129600486878	7.0770238527270095	0.0	30.79180130144237	0.028709338214956484	34.83187221219323	0.643338674429435	-40.70129600486878
940	-42.321558258592816	0.3327765215322849	-42.654334780125104	7.0770238527270095	0.0	30.79180130144237	0.07583008294811834	13.187378427163043	0.6964815451903312	-42.654334780125104
960	-39.97818472487576	0.5357662769146461	-40.5139510017904	7.0770238527270095	0.0	30.79180130144237	0.0517584256366969	19.320525840936643	0.6788931197600367	-40.5139510017904
980	-39.50089847670162	0.6874774769748071	-40.18837595367643	7.0770238527270095	0.0	30.79180130144237	0.03871429693691758	25.830250814820033	0.7637793029279095	-40.18837595367643
1000	-39.717381685624154	0.8077620924393625	-40.525143778063516	7.0770238527270095	0.0	30.79180130144237	0.030681876885873986	32.59253023273823	0.7313633420260185	-40.525143778063516
1020	-39.5466190933104	0.7451372336411013	-40.2917563269515	7.0770238527270095	0.0	30.79180130144237	0.03463848209203465	28.86962533008791	0.7025056832219896	-40.2917563269515
1040	-40.63973033878078	0.9676549984829255	-41.60738533726371	7.0770238527270095	0.0	30.79180130144237	0.022468178892409058	44.507389975333204	0.8160849270238588	-41.60738533726371
1060	-39.956538550531675	0.8618528223764323	-40.81839137290811	7.0770238527270095	0.0	30.79180130144237	0.027620333818493256	36.20521050076693	0.8610622836416453	-40.81839137290811
